reward_id,order_id,cashback_amount,crediting_date,status
REW-7042,ORD-90657,25.0,2026-04-17 16:52:34,Credited
REW-7043,ORD-90379,153.14,2026-04-17 09:48:07,Expired
REW-7044,ORD-90178,500.0,2026-04-16 22:54:23,Expired
REW-7045,ORD-90408,421.59,2026-04-18 15:18:18,Credited
REW-7046,ORD-90584,500.0,2026-04-19 13:41:15,Credited
REW-7047,ORD-90745,89.42,2026-04-19 02:24:41,Credited
REW-7048,ORD-90064,141.34,2026-04-19 03:13:51,Credited
REW-7049,ORD-90171,76.59,2026-04-19 00:58:50,Credited
REW-7050,ORD-90427,92.69,2026-04-19 15:44:05,Credited
REW-7051,ORD-90480,246.44,2026-04-18 09:21:22,Credited
REW-7052,ORD-90030,140.24,2026-04-19 13:49:04,Credited
REW-7053,ORD-90013,231.33,2026-04-20 03:45:23,Credited
REW-7054,ORD-90141,332.94,2026-04-19 16:05:48,Credited
REW-7055,ORD-90179,80.46,2026-04-21 09:20:03,Credited
REW-7056,ORD-90650,58.26,2026-04-22 04:41:42,Credited
REW-7057,ORD-90466,109.74,2026-04-23 00:12:36,Pending
REW-7058,ORD-90698,60.22,2026-04-22 23:07:44,Credited
REW-7059,ORD-90342,177.27,2026-04-21 12:34:25,Credited
REW-7060,ORD-90195,228.49,2026-04-22 20:05:22,Credited
REW-7061,ORD-90248,184.87,2026-04-22 06:48:05,Credited
REW-7062,ORD-90671,60.76,2026-04-23 12:26:40,Credited
REW-7063,ORD-90093,121.82,2026-04-24 19:42:39,Credited
REW-7064,ORD-90146,163.62,2026-04-24 15:48:33,Credited
REW-7065,ORD-90259,94.01,2026-04-23 13:33:36,Credited
REW-7066,ORD-90106,25.0,2026-04-25 13:44:32,Credited
REW-7067,ORD-90316,256.88,2026-04-26 03:46:48,Credited
REW-7068,ORD-90110,234.06,2026-04-26 19:32:53,Credited
REW-7069,ORD-90654,77.96,2026-04-27 12:35:32,Credited
REW-7070,ORD-90349,316.93,2026-04-28 12:39:12,Credited
REW-7071,ORD-90648,500.0,2026-04-27 22:32:52,Pending
REW-7072,ORD-90703,500.0,2026-04-28 12:14:48,Credited
REW-7073,ORD-90582,500.0,2026-04-28 14:05:34,Credited
REW-7074,ORD-90328,333.93,2026-05-01 09:25:13,Credited
REW-7075,ORD-90629,41.59,2026-05-02 06:28:12,Expired
REW-7076,ORD-90167,63.14,2026-05-01 16:54:04,Credited
REW-7077,ORD-90710,500.0,2026-05-02 12:19:29,Expired
REW-7078,ORD-90111,49.4,2026-05-01 08:22:44,Credited
REW-7079,ORD-90458,31.51,2026-05-02 22:32:33,Expired
REW-7080,ORD-90526,500.0,2026-05-03 18:34:02,Pending
REW-7081,ORD-90391,60.44,2026-05-04 10:38:43,Expired
REW-7082,ORD-90376,119.76,2026-05-03 23:33:26,Credited
REW-7083,ORD-90570,134.99,2026-05-04 16:33:38,Credited
REW-7084,ORD-90464,103.47,2026-05-03 17:37:08,Credited
REW-7085,ORD-90538,500.0,2026-05-06 03:39:57,Credited
REW-7086,ORD-90562,141.03,2026-05-04 13:46:56,Credited
REW-7087,ORD-90140,500.0,2026-05-05 13:43:16,Credited
REW-7088,ORD-90212,108.07,2026-05-06 05:17:04,Credited
REW-7089,ORD-90375,500.0,2026-05-04 21:55:10,Credited
REW-7090,ORD-90502,500.0,2026-05-05 15:05:50,Credited
REW-7091,ORD-90665,26.06,2026-05-06 03:27:58,Credited
REW-7092,ORD-90091,157.58,2026-05-07 22:58:36,Credited
REW-7093,ORD-90731,79.88,2026-05-06 03:36:07,Credited
REW-7094,ORD-90290,356.76,2026-05-06 22:24:14,Credited
REW-7095,ORD-90510,58.55,2026-05-07 18:50:13,Expired
REW-7096,ORD-90668,280.65,2026-05-09 12:20:15,Expired
REW-7097,ORD-90461,25.0,2026-05-08 09:00:02,Credited
REW-7098,ORD-90659,105.64,2026-05-08 04:31:38,Credited
REW-7099,ORD-90413,500.0,2026-05-08 09:01:19,Credited
REW-7100,ORD-90392,167.68,2026-05-07 19:56:33,Credited
REW-7101,ORD-90653,126.98,2026-05-08 16:05:50,Credited
REW-7102,ORD-90727,89.55,2026-05-10 20:09:40,Credited
REW-7103,ORD-90477,378.84,2026-05-09 16:25:47,Credited
REW-7104,ORD-90113,500.0,2026-05-10 21:39:45,Credited
REW-7105,ORD-90034,500.0,2026-05-12 10:00:19,Expired
REW-7106,ORD-90031,111.7,2026-05-12 11:33:37,Credited
REW-7107,ORD-90676,94.79,2026-05-10 13:45:34,Expired
REW-7108,ORD-90741,285.16,2026-05-12 01:00:45,Credited
REW-7109,ORD-90199,500.0,2026-05-11 21:51:48,Credited
REW-7110,ORD-90019,500.0,2026-05-14 22:59:20,Pending
REW-7111,ORD-90343,25.0,2026-05-16 00:11:34,Credited
REW-7112,ORD-90591,489.29,2026-05-13 22:24:28,Credited
REW-7113,ORD-90231,375.89,2026-05-15 07:03:06,Credited
REW-7114,ORD-90402,438.31,2026-05-16 07:33:16,Credited
REW-7115,ORD-90506,500.0,2026-05-14 19:10:26,Credited
REW-7116,ORD-90359,85.25,2026-05-17 06:30:07,Credited
REW-7117,ORD-90381,309.28,2026-05-15 11:36:20,Credited
REW-7118,ORD-90344,67.92,2026-05-17 22:40:54,Expired
REW-7119,ORD-90247,500.0,2026-05-17 19:26:32,Credited
REW-7120,ORD-90265,500.0,2026-05-18 10:50:37,Credited
REW-7121,ORD-90558,158.59,2026-05-18 07:24:38,Credited
REW-7122,ORD-90597,500.0,2026-05-17 22:07:33,Credited
REW-7123,ORD-90463,482.67,2026-05-19 23:31:11,Credited
REW-7124,ORD-90686,91.54,2026-05-20 21:52:54,Credited
REW-7125,ORD-90535,85.72,2026-05-19 07:12:30,Credited
REW-7126,ORD-90667,37.26,2026-05-21 06:55:07,Credited
REW-7127,ORD-90229,500.0,2026-05-19 16:09:58,Credited
REW-7128,ORD-90035,308.58,2026-05-22 11:51:05,Credited
REW-7129,ORD-90530,36.71,2026-05-22 19:28:25,Credited
REW-7130,ORD-90479,236.25,2026-05-23 05:36:39,Expired
REW-7131,ORD-90542,500.0,2026-05-22 11:12:18,Credited
REW-7132,ORD-90278,147.81,2026-05-23 01:34:19,Credited
REW-7133,ORD-90495,25.0,2026-05-24 14:26:31,Credited
REW-7134,ORD-90663,110.57,2026-05-25 06:36:07,Credited
REW-7135,ORD-90393,116.94,2026-05-25 13:34:59,Credited
REW-7136,ORD-90487,187.6,2026-05-23 22:57:47,Credited
REW-7137,ORD-90037,293.45,2026-05-26 14:07:50,Credited
REW-7138,ORD-90508,500.0,2026-05-26 12:46:42,Credited
REW-7139,ORD-90475,101.36,2026-05-26 01:16:03,Pending
REW-7140,ORD-90614,150.97,2026-05-25 23:10:04,Credited
REW-7141,ORD-90169,116.74,2026-05-25 18:47:05,Credited
REW-7142,ORD-90522,25.0,2026-05-25 19:27:06,Credited
REW-7143,ORD-90618,397.11,2026-05-27 19:09:31,Credited
REW-7144,ORD-90677,138.39,2026-05-27 23:21:02,Credited
REW-7145,ORD-90271,81.21,2026-05-26 05:12:31,Credited
REW-7146,ORD-90024,216.46,2026-05-26 15:33:01,Expired
REW-7147,ORD-90279,67.93,2026-05-29 09:05:51,Pending
REW-7148,ORD-90452,500.0,2026-05-29 00:49:07,Credited
REW-7149,ORD-90430,57.65,2026-05-30 06:11:06,Credited
REW-7150,ORD-90525,500.0,2026-05-29 01:52:45,Expired
REW-7151,ORD-90136,131.3,2026-05-29 19:05:01,Credited
REW-7152,ORD-90708,477.91,2026-05-29 17:09:41,Credited
REW-7153,ORD-90406,500.0,2026-05-31 22:20:48,Expired
REW-7154,ORD-90373,102.13,2026-05-30 07:54:56,Pending
REW-7155,ORD-90241,96.54,2026-06-01 08:54:09,Credited
REW-7156,ORD-90571,265.79,2026-05-31 11:38:07,Credited
REW-7157,ORD-90691,500.0,2026-06-03 15:41:35,Credited
REW-7158,ORD-90601,55.66,2026-06-01 11:56:20,Credited
REW-7159,ORD-90557,500.0,2026-06-03 11:46:21,Credited
REW-7160,ORD-90409,235.93,2026-06-04 05:34:54,Credited
REW-7161,ORD-90305,257.28,2026-06-03 21:23:57,Credited
REW-7162,ORD-90166,144.97,2026-06-02 07:15:53,Pending
REW-7163,ORD-90673,264.09,2026-06-04 13:56:56,Credited
REW-7164,ORD-90192,35.45,2026-06-04 22:51:25,Credited
REW-7165,ORD-90474,38.0,2026-06-05 23:13:58,Expired
REW-7166,ORD-90157,60.55,2026-06-05 19:12:08,Credited
REW-7167,ORD-90081,361.76,2026-06-05 02:54:55,Credited
REW-7168,ORD-90080,165.66,2026-06-06 14:09:46,Credited
REW-7169,ORD-90036,27.15,2026-06-06 02:51:03,Credited
REW-7170,ORD-90550,76.6,2026-06-07 12:17:12,Pending
REW-7171,ORD-90563,25.0,2026-06-07 19:50:58,Credited
REW-7172,ORD-90065,59.57,2026-06-06 01:33:50,Credited
REW-7173,ORD-90720,73.16,2026-06-08 19:20:59,Expired
REW-7174,ORD-90683,500.0,2026-06-08 23:57:10,Credited
REW-7175,ORD-90292,114.94,2026-06-08 00:44:18,Credited
REW-7176,ORD-90501,77.46,2026-06-08 06:07:43,Expired
REW-7177,ORD-90350,33.13,2026-06-09 14:46:05,Credited
REW-7178,ORD-90334,123.71,2026-06-09 08:10:55,Credited
REW-7179,ORD-90137,65.95,2026-06-09 20:39:42,Credited
REW-7180,ORD-90702,195.98,2026-06-10 10:45:10,Pending
REW-7181,ORD-90467,500.0,2026-06-09 18:57:06,Credited
REW-7182,ORD-90428,500.0,2026-06-11 03:26:46,Expired
REW-7183,ORD-90066,117.15,2026-06-12 18:27:57,Credited
REW-7184,ORD-90555,72.58,2026-06-12 12:22:28,Credited
REW-7185,ORD-90687,129.56,2026-06-14 21:26:36,Credited
REW-7186,ORD-90489,303.53,2026-06-12 23:50:40,Credited
REW-7187,ORD-90488,179.07,2026-06-15 23:36:22,Credited
REW-7188,ORD-90553,72.37,2026-06-14 15:24:14,Credited
REW-7189,ORD-90714,64.91,2026-06-13 22:32:52,Credited
REW-7190,ORD-90172,128.73,2026-06-13 13:21:16,Credited
REW-7191,ORD-90459,166.6,2026-06-16 20:27:48,Credited
REW-7192,ORD-90187,110.67,2026-06-17 03:07:37,Pending
REW-7193,ORD-90400,298.06,2026-06-15 02:40:56,Expired
REW-7194,ORD-90520,146.25,2026-06-16 18:53:04,Pending
REW-7195,ORD-90473,500.0,2026-06-19 03:17:13,Credited
REW-7196,ORD-90327,220.36,2026-06-18 14:56:49,Credited
REW-7197,ORD-90552,158.29,2026-06-18 21:01:54,Credited
REW-7198,ORD-90394,192.79,2026-06-20 01:26:03,Credited
REW-7199,ORD-90069,49.87,2026-06-19 23:56:13,Credited
REW-7200,ORD-90260,47.07,2026-06-19 15:22:09,Credited
REW-7201,ORD-90737,185.64,2026-06-19 22:27:39,Credited
REW-7202,ORD-90749,105.47,2026-06-19 23:12:05,Credited
REW-7203,ORD-90483,57.94,2026-06-19 06:53:55,Credited
REW-7204,ORD-90308,184.34,2026-06-20 23:48:14,Credited
REW-7205,ORD-90468,26.72,2026-06-23 03:53:38,Credited
REW-7206,ORD-90102,25.0,2026-06-21 04:45:02,Credited
REW-7207,ORD-90690,500.0,2026-06-21 11:11:37,Credited
REW-7208,ORD-90276,58.45,2026-06-21 16:03:07,Credited
REW-7209,ORD-90073,112.93,2026-06-23 16:33:24,Credited
REW-7210,ORD-90258,138.6,2026-06-22 15:52:10,Expired
REW-7211,ORD-90315,500.0,2026-06-25 21:43:17,Credited
REW-7212,ORD-90012,48.76,2026-06-23 20:40:13,Credited
REW-7213,ORD-90087,53.76,2026-06-24 18:46:37,Credited
REW-7214,ORD-90447,500.0,2026-06-25 21:12:50,Credited
REW-7215,ORD-90711,60.89,2026-06-24 17:43:23,Credited
REW-7216,ORD-90139,82.31,2026-06-27 01:09:53,Credited
REW-7217,ORD-90079,254.09,2026-06-26 17:38:09,Credited
REW-7218,ORD-90223,225.14,2026-06-29 06:47:36,Credited
REW-7219,ORD-90235,134.46,2026-07-01 14:59:50,Credited
REW-7220,ORD-90546,121.37,2026-06-30 09:52:24,Expired
REW-7221,ORD-90138,29.97,2026-07-03 03:42:17,Credited
REW-7222,ORD-90472,176.55,2026-07-04 00:49:57,Pending
REW-7223,ORD-90531,248.71,2026-07-03 01:32:04,Credited
REW-7224,ORD-90008,30.84,2026-07-02 16:10:45,Pending
REW-7225,ORD-90527,242.87,2026-07-05 00:06:13,Credited
REW-7226,ORD-90280,206.77,2026-07-02 23:22:28,Credited
REW-7227,ORD-90544,145.51,2026-07-04 04:43:38,Credited
REW-7228,ORD-90337,52.79,2026-07-05 21:38:47,Credited
REW-7229,ORD-90492,233.77,2026-07-06 05:32:09,Credited
REW-7230,ORD-90261,91.25,2026-07-04 05:40:46,Pending
REW-7231,ORD-90617,62.05,2026-07-06 01:22:24,Credited
REW-7232,ORD-90277,221.01,2026-07-04 22:20:36,Credited
REW-7233,ORD-90660,253.4,2026-07-05 16:06:25,Expired
REW-7234,ORD-90098,161.26,2026-07-06 19:20:25,Credited
REW-7235,ORD-90033,153.88,2026-07-05 14:16:58,Credited
REW-7236,ORD-90238,191.84,2026-07-08 13:26:45,Credited
REW-7237,ORD-90670,500.0,2026-07-08 09:51:44,Expired
REW-7238,ORD-90471,136.74,2026-07-06 03:11:43,Credited
REW-7239,ORD-90688,32.97,2026-07-08 08:30:03,Credited
REW-7240,ORD-90540,500.0,2026-07-09 05:33:59,Expired
REW-7241,ORD-90130,363.67,2026-07-09 05:37:49,Credited
REW-7242,ORD-90517,500.0,2026-07-08 18:20:27,Credited
REW-7243,ORD-90075,105.37,2026-07-09 21:06:16,Credited
REW-7244,ORD-90639,83.8,2026-07-10 14:26:52,Pending
REW-7245,ORD-90320,126.69,2026-07-07 23:15:30,Credited
REW-7246,ORD-90115,66.59,2026-07-09 06:21:06,Credited
REW-7247,ORD-90549,137.63,2026-07-09 11:05:05,Expired
REW-7248,ORD-90352,500.0,2026-07-09 21:32:56,Credited
REW-7249,ORD-90086,60.93,2026-07-10 11:55:45,Pending
REW-7250,ORD-90156,500.0,2026-07-09 23:25:17,Credited
REW-7251,ORD-90578,252.66,2026-07-12 05:36:51,Expired
REW-7252,ORD-90396,122.98,2026-07-11 09:16:12,Pending
REW-7253,ORD-90005,83.13,2026-07-10 15:47:54,Credited
REW-7254,ORD-90456,179.15,2026-07-13 09:31:17,Credited
REW-7255,ORD-90387,104.32,2026-07-12 02:39:00,Pending
REW-7256,ORD-90252,141.09,2026-07-14 21:37:20,Credited
REW-7257,ORD-90154,199.0,2026-07-12 15:46:46,Expired
REW-7258,ORD-90462,161.82,2026-07-12 15:15:16,Credited
REW-7259,ORD-90074,54.74,2026-07-16 01:32:43,Credited
REW-7260,ORD-90269,54.66,2026-07-14 16:49:40,Pending
REW-7261,ORD-90733,500.0,2026-07-16 11:57:25,Credited
REW-7262,ORD-90388,29.44,2026-07-15 18:40:35,Credited
REW-7263,ORD-90514,55.87,2026-07-16 03:01:36,Credited
REW-7264,ORD-90363,34.58,2026-07-17 05:30:41,Expired
REW-7265,ORD-90470,500.0,2026-07-19 03:47:04,Pending
REW-7266,ORD-90414,112.96,2026-07-18 23:58:25,Credited
REW-7267,ORD-90608,110.8,2026-07-19 06:06:17,Pending
REW-7268,ORD-90417,95.54,2026-07-16 19:39:28,Credited
REW-7269,ORD-90062,109.43,2026-07-17 15:14:18,Credited
REW-7270,ORD-90607,379.86,2026-07-19 14:09:20,Credited
REW-7271,ORD-90481,38.29,2026-07-19 01:40:26,Pending
REW-7272,ORD-90692,500.0,2026-07-20 02:14:26,Credited
REW-7273,ORD-90581,84.31,2026-07-20 07:14:24,Credited
REW-7274,ORD-90592,294.71,2026-07-20 00:51:15,Credited
REW-7275,ORD-90453,29.03,2026-07-22 01:57:49,Credited
REW-7276,ORD-90336,281.26,2026-07-20 18:15:17,Expired
REW-7277,ORD-90216,467.44,2026-07-22 02:17:32,Expired
REW-7278,ORD-90083,99.54,2026-07-22 10:57:20,Credited
REW-7279,ORD-90053,31.14,2026-07-22 02:25:32,Credited
REW-7280,ORD-90297,116.95,2026-07-24 01:14:00,Credited
REW-7281,ORD-90701,399.28,2026-07-23 09:20:38,Pending
REW-7282,ORD-90482,164.11,2026-07-24 08:30:13,Credited
REW-7283,ORD-90094,500.0,2026-07-24 23:45:11,Credited
REW-7284,ORD-90574,136.02,2026-07-24 22:25:23,Credited
REW-7285,ORD-90354,399.85,2026-07-25 00:22:26,Credited
REW-7286,ORD-90715,92.22,2026-07-26 13:46:49,Credited
REW-7287,ORD-90040,96.49,2026-07-27 01:05:25,Credited
REW-7288,ORD-90222,426.1,2026-07-28 13:27:43,Credited
REW-7289,ORD-90159,104.87,2026-07-26 16:38:15,Credited
REW-7290,ORD-90215,114.28,2026-07-28 11:53:21,Credited
REW-7291,ORD-90682,52.21,2026-07-28 05:40:09,Credited
REW-7292,ORD-90077,53.52,2026-07-30 03:47:16,Credited
REW-7293,ORD-90255,121.25,2026-07-29 22:44:48,Credited
REW-7294,ORD-90728,494.56,2026-07-28 08:11:05,Credited
REW-7295,ORD-90107,107.97,2026-07-30 09:17:09,Credited
REW-7296,ORD-90448,371.79,2026-07-28 23:54:17,Pending
REW-7297,ORD-90243,78.23,2026-07-30 16:26:00,Credited
REW-7298,ORD-90643,59.87,2026-07-31 15:58:15,Credited
REW-7299,ORD-90606,150.8,2026-07-30 17:42:14,Credited
REW-7300,ORD-90503,78.67,2026-07-30 12:52:17,Credited
REW-7301,ORD-90564,90.02,2026-07-30 10:40:12,Credited
REW-7302,ORD-90521,40.56,2026-07-31 08:34:15,Credited
REW-7303,ORD-90500,92.0,2026-08-01 00:35:28,Pending
REW-7304,ORD-90205,111.95,2026-07-31 07:11:50,Expired
REW-7305,ORD-90559,269.52,2026-08-02 12:02:18,Credited
REW-7306,ORD-90377,110.89,2026-08-04 03:25:38,Credited
REW-7307,ORD-90149,242.08,2026-08-04 20:56:02,Expired
REW-7308,ORD-90641,98.14,2026-08-05 16:37:41,Expired
REW-7309,ORD-90513,45.6,2026-08-04 18:15:15,Credited
REW-7310,ORD-90124,153.13,2026-08-05 14:11:10,Expired
REW-7311,ORD-90399,100.74,2026-08-05 08:51:27,Credited
REW-7312,ORD-90134,54.11,2026-08-05 05:58:40,Credited
REW-7313,ORD-90523,151.03,2026-08-05 11:39:38,Credited
REW-7314,ORD-90289,48.55,2026-08-06 22:14:04,Credited
REW-7315,ORD-90228,112.11,2026-08-06 21:22:11,Pending
REW-7316,ORD-90207,236.05,2026-08-07 21:53:45,Credited
REW-7317,ORD-90152,57.73,2026-08-07 18:00:36,Credited
REW-7318,ORD-90403,280.12,2026-08-09 09:01:54,Credited
REW-7319,ORD-90631,500.0,2026-08-08 12:47:03,Credited
REW-7320,ORD-90576,55.86,2026-08-08 15:46:48,Credited
REW-7321,ORD-90595,130.92,2026-08-10 20:10:02,Credited
REW-7322,ORD-90609,492.01,2026-08-09 01:08:59,Credited
REW-7323,ORD-90421,216.37,2026-08-10 11:27:59,Expired
REW-7324,ORD-90286,483.95,2026-08-12 01:48:07,Credited
REW-7325,ORD-90436,239.97,2026-08-10 22:27:41,Credited
REW-7326,ORD-90746,500.0,2026-08-10 20:01:36,Expired
REW-7327,ORD-90423,130.09,2026-08-11 10:20:41,Credited
REW-7328,ORD-90360,119.73,2026-08-11 17:56:18,Credited
REW-7329,ORD-90177,44.0,2026-08-13 16:15:43,Expired
REW-7330,ORD-90323,74.48,2026-08-14 07:44:59,Credited
REW-7331,ORD-90100,500.0,2026-08-15 06:04:19,Expired
REW-7332,ORD-90025,64.5,2026-08-14 16:40:46,Credited
REW-7333,ORD-90003,500.0,2026-08-13 17:22:30,Credited
REW-7334,ORD-90158,35.76,2026-08-14 11:07:42,Credited
REW-7335,ORD-90090,168.84,2026-08-15 12:10:11,Credited
REW-7336,ORD-90389,220.61,2026-08-15 21:20:23,Credited
REW-7337,ORD-90250,118.35,2026-08-15 01:12:35,Credited
REW-7338,ORD-90274,133.0,2026-08-15 04:56:35,Credited
REW-7339,ORD-90312,47.46,2026-08-15 04:07:51,Pending
REW-7340,ORD-90095,249.36,2026-08-16 09:41:16,Credited
REW-7341,ORD-90537,25.0,2026-08-17 10:28:36,Credited
REW-7342,ORD-90112,500.0,2026-08-16 11:12:11,Credited
REW-7343,ORD-90356,367.55,2026-08-16 10:26:14,Credited
REW-7344,ORD-90240,32.19,2026-08-18 18:37:21,Credited
REW-7345,ORD-90704,98.71,2026-08-19 13:21:06,Credited
REW-7346,ORD-90004,46.38,2026-08-19 01:43:34,Credited
REW-7347,ORD-90126,87.87,2026-08-19 14:03:18,Credited
REW-7348,ORD-90104,76.58,2026-08-20 02:44:47,Expired
REW-7349,ORD-90666,500.0,2026-08-18 12:58:11,Credited
REW-7350,ORD-90457,41.52,2026-08-19 08:44:23,Pending
REW-7351,ORD-90028,168.36,2026-08-19 05:25:40,Credited
REW-7352,ORD-90556,25.0,2026-08-18 16:44:18,Expired
REW-7353,ORD-90284,161.76,2026-08-20 19:36:06,Pending
REW-7354,ORD-90348,500.0,2026-08-21 15:16:00,Credited
REW-7355,ORD-90610,33.62,2026-08-21 00:24:01,Expired
REW-7356,ORD-90176,87.41,2026-08-23 13:54:12,Credited
REW-7357,ORD-90203,36.09,2026-08-21 22:07:23,Credited
REW-7358,ORD-90335,180.04,2026-08-22 06:58:55,Credited
REW-7359,ORD-90331,104.21,2026-08-24 05:04:01,Credited
REW-7360,ORD-90306,43.2,2026-08-24 21:42:31,Pending
REW-7361,ORD-90604,500.0,2026-08-24 22:06:59,Expired
REW-7362,ORD-90730,174.46,2026-08-24 19:43:43,Credited
REW-7363,ORD-90723,89.41,2026-08-26 11:52:32,Credited
REW-7364,ORD-90184,230.8,2026-08-25 03:46:39,Credited
REW-7365,ORD-90725,106.21,2026-08-27 12:37:54,Pending
REW-7366,ORD-90622,119.49,2026-08-26 05:41:12,Credited
REW-7367,ORD-90565,132.13,2026-08-25 20:15:20,Credited
REW-7368,ORD-90455,85.34,2026-08-26 11:39:40,Credited
REW-7369,ORD-90716,100.0,2026-08-28 15:35:44,Expired
REW-7370,ORD-90147,139.17,2026-08-27 11:53:16,Pending
REW-7371,ORD-90372,102.11,2026-08-30 11:41:56,Credited
REW-7372,ORD-90395,500.0,2026-08-29 22:26:05,Expired
REW-7373,ORD-90516,102.19,2026-08-29 23:02:53,Pending
REW-7374,ORD-90120,203.08,2026-08-31 06:12:55,Pending
REW-7375,ORD-90300,58.24,2026-08-29 17:28:53,Expired
REW-7376,ORD-90611,126.23,2026-08-30 16:35:19,Credited
REW-7377,ORD-90416,414.22,2026-08-31 20:37:59,Pending
REW-7378,ORD-90738,328.87,2026-08-31 22:22:11,Pending
REW-7379,ORD-90418,93.83,2026-08-31 19:12:59,Credited
REW-7380,ORD-90118,84.07,2026-08-31 19:08:07,Pending
REW-7381,ORD-90119,92.18,2026-08-31 18:17:59,Credited
REW-7382,ORD-90181,42.17,2026-08-31 20:41:59,Expired
REW-7383,ORD-90298,247.99,2026-08-31 23:50:59,Pending
REW-7384,ORD-90153,400.73,2026-08-31 23:03:59,Expired
REW-7385,ORD-90613,129.01,2026-08-31 19:55:59,Pending
REW-7386,ORD-90168,129.17,2026-08-31 19:00:59,Credited
REW-7387,ORD-90724,500.0,2026-08-31 20:43:59,Credited
REW-7388,ORD-90155,124.69,2026-08-31 21:55:59,Pending
REW-7389,ORD-90366,415.57,2026-08-31 21:37:59,Credited
REW-7390,ORD-90056,51.41,2026-08-31 21:21:59,Expired
REW-7391,ORD-90645,70.93,2026-08-31 22:43:59,Expired
