order_id,customer_id,product_id,order_date,quantity,total_amount,order_status
ORD-90646,CUST-1093,PROD-5060,2026-04-07 23:01:36,1,1799.0,Delivered
ORD-90089,CUST-1108,PROD-5035,2026-04-08 03:20:17,2,826.5,In-Transit
ORD-90310,CUST-1167,PROD-5051,2026-04-08 06:07:34,1,337.5,Cancelled
ORD-90302,CUST-1099,PROD-5001,2026-04-08 07:48:45,1,1169.1,In-Transit
ORD-90623,CUST-1181,PROD-5051,2026-04-08 11:28:43,1,356.25,Cancelled
ORD-90442,CUST-1158,PROD-5039,2026-04-08 13:55:24,3,2847.15,Cancelled
ORD-90434,CUST-1162,PROD-5033,2026-04-08 14:38:33,3,825.0,Delivered
ORD-90401,CUST-1037,PROD-5008,2026-04-09 02:40:37,1,1614.05,Delivered
ORD-90621,CUST-1104,PROD-5050,2026-04-09 02:55:28,1,637.5,Cancelled
ORD-90533,CUST-1162,PROD-5047,2026-04-09 04:36:02,2,3323.1,Delivered
ORD-90057,CUST-1136,PROD-5059,2026-04-09 06:18:20,1,1699.15,Delivered
ORD-90254,CUST-1050,PROD-5009,2026-04-09 06:53:02,1,29520.0,Delivered
ORD-90202,CUST-1085,PROD-5008,2026-04-09 06:58:45,4,6796.0,In-Transit
ORD-90186,CUST-1072,PROD-5006,2026-04-09 12:35:24,3,24222.45,Delivered
ORD-90099,CUST-1018,PROD-5020,2026-04-09 16:14:17,2,6998.0,Cancelled
ORD-90174,CUST-1004,PROD-5016,2026-04-09 22:17:22,1,12349.05,Delivered
ORD-90020,CUST-1173,PROD-5046,2026-04-10 10:50:53,1,499.0,Delivered
ORD-90294,CUST-1031,PROD-5031,2026-04-11 10:09:09,3,684.0,In-Transit
ORD-90507,CUST-1122,PROD-5036,2026-04-11 10:50:41,1,159.6,Cancelled
ORD-90296,CUST-1077,PROD-5027,2026-04-11 11:56:49,3,1620.0,In-Transit
ORD-90577,CUST-1162,PROD-5025,2026-04-11 12:15:16,1,1599.0,Delivered
ORD-90242,CUST-1126,PROD-5010,2026-04-11 14:00:39,1,1805.0,Delivered
ORD-90589,CUST-1029,PROD-5048,2026-04-11 14:09:56,1,449.1,Delivered
ORD-90627,CUST-1076,PROD-5040,2026-04-11 14:12:21,2,3357.5,Delivered
ORD-90007,CUST-1131,PROD-5029,2026-04-11 19:16:53,1,26.6,Delivered
ORD-90528,CUST-1193,PROD-5010,2026-04-11 21:09:27,1,1805.0,Delivered
ORD-90055,CUST-1142,PROD-5031,2026-04-11 21:30:52,1,216.0,Delivered
ORD-90324,CUST-1195,PROD-5057,2026-04-11 21:51:31,1,225.0,Delivered
ORD-90270,CUST-1052,PROD-5054,2026-04-12 04:33:49,1,1401.25,In-Transit
ORD-90299,CUST-1081,PROD-5041,2026-04-12 06:21:46,1,1040.0,Cancelled
ORD-90211,CUST-1200,PROD-5018,2026-04-12 09:03:17,2,2278.1,Delivered
ORD-90128,CUST-1106,PROD-5059,2026-04-12 12:17:32,5,8495.75,Delivered
ORD-90125,CUST-1053,PROD-5052,2026-04-12 12:37:39,1,426.55,Delivered
ORD-90594,CUST-1066,PROD-5011,2026-04-12 16:07:59,1,1799.1,Delivered
ORD-90722,CUST-1145,PROD-5017,2026-04-12 22:13:39,1,3799.05,Delivered
ORD-90548,CUST-1083,PROD-5047,2026-04-13 07:11:38,2,3323.1,Delivered
ORD-90010,CUST-1089,PROD-5045,2026-04-13 09:08:33,1,6499.0,In-Transit
ORD-90263,CUST-1177,PROD-5016,2026-04-13 13:42:45,2,20798.4,In-Transit
ORD-90164,CUST-1175,PROD-5042,2026-04-13 20:07:07,1,807.5,In-Transit
ORD-90647,CUST-1098,PROD-5053,2026-04-14 03:20:58,2,663.0,Delivered
ORD-90657,CUST-1066,PROD-5051,2026-04-14 04:08:20,1,356.25,Delivered
ORD-90379,CUST-1048,PROD-5034,2026-04-14 05:43:31,2,1598.0,Delivered
ORD-90545,CUST-1142,PROD-5011,2026-04-14 08:59:17,1,1899.05,Cancelled
ORD-90178,CUST-1012,PROD-5026,2026-04-14 09:13:13,3,12747.45,Cancelled
ORD-90408,CUST-1073,PROD-5040,2026-04-14 13:19:58,3,5925.0,Delivered
ORD-90539,CUST-1195,PROD-5041,2026-04-14 15:51:51,1,936.0,Delivered
ORD-90584,CUST-1064,PROD-5016,2026-04-14 21:53:06,1,12349.05,Delivered
ORD-90469,CUST-1028,PROD-5036,2026-04-15 01:20:35,1,168.0,Delivered
ORD-90032,CUST-1011,PROD-5056,2026-04-15 03:11:58,1,126.0,Cancelled
ORD-90131,CUST-1097,PROD-5029,2026-04-15 15:55:52,1,23.8,Delivered
ORD-90745,CUST-1120,PROD-5043,2026-04-15 16:51:13,1,1759.2,Delivered
ORD-90064,CUST-1112,PROD-5015,2026-04-15 18:16:14,1,1701.0,In-Transit
ORD-90171,CUST-1148,PROD-5041,2026-04-15 23:10:20,1,988.0,Delivered
ORD-90427,CUST-1168,PROD-5058,2026-04-16 02:44:56,1,1234.05,In-Transit
ORD-90480,CUST-1031,PROD-5059,2026-04-16 05:46:42,2,3598.2,Delivered
ORD-90251,CUST-1122,PROD-5020,2026-04-16 07:57:25,1,2974.15,Delivered
ORD-90030,CUST-1085,PROD-5042,2026-04-16 08:29:41,3,2167.5,Delivered
ORD-90640,CUST-1105,PROD-5029,2026-04-16 10:03:13,1,28.0,In-Transit
ORD-90013,CUST-1097,PROD-5025,2026-04-16 13:59:31,2,2878.2,Delivered
ORD-90244,CUST-1164,PROD-5019,2026-04-16 21:50:59,1,1499.0,Cancelled
ORD-90068,CUST-1183,PROD-5005,2026-04-16 22:19:29,1,15674.05,Cancelled
ORD-90141,CUST-1093,PROD-5017,2026-04-17 00:06:27,1,3399.15,Delivered
ORD-90162,CUST-1040,PROD-5018,2026-04-17 05:35:26,1,1139.05,Delivered
ORD-90179,CUST-1080,PROD-5021,2026-04-17 18:35:08,1,1299.0,Delivered
ORD-90650,CUST-1162,PROD-5034,2026-04-18 00:34:14,1,719.1,In-Transit
ORD-90340,CUST-1147,PROD-5029,2026-04-18 02:12:08,3,79.8,Delivered
ORD-90466,CUST-1018,PROD-5059,2026-04-18 12:12:12,1,1799.1,Delivered
ORD-90628,CUST-1166,PROD-5029,2026-04-18 13:29:04,2,56.0,Cancelled
ORD-90698,CUST-1170,PROD-5004,2026-04-18 13:54:51,1,999.0,Delivered
ORD-90419,CUST-1129,PROD-5033,2026-04-18 14:00:44,1,261.25,Delivered
ORD-90342,CUST-1141,PROD-5001,2026-04-18 15:36:14,2,2078.4,Delivered
ORD-90195,CUST-1084,PROD-5010,2026-04-18 17:04:58,2,3040.0,Delivered
ORD-90072,CUST-1091,PROD-5036,2026-04-19 01:42:39,1,151.2,Cancelled
ORD-90063,CUST-1177,PROD-5047,2026-04-19 05:29:58,1,1399.2,Delivered
ORD-90143,CUST-1024,PROD-5046,2026-04-19 11:35:17,1,474.05,Delivered
ORD-90051,CUST-1046,PROD-5007,2026-04-19 16:51:18,1,19999.0,Delivered
ORD-90248,CUST-1179,PROD-5043,2026-04-19 18:40:00,1,2199.0,Delivered
ORD-90685,CUST-1179,PROD-5030,2026-04-19 21:16:42,1,445.5,Delivered
ORD-90671,CUST-1037,PROD-5050,2026-04-20 01:53:07,2,1200.0,Delivered
ORD-90093,CUST-1028,PROD-5001,2026-04-20 03:32:23,1,1234.05,Delivered
ORD-90321,CUST-1186,PROD-5047,2026-04-20 16:02:52,3,4722.3,Delivered
ORD-90105,CUST-1017,PROD-5037,2026-04-20 18:11:56,2,1708.1,Delivered
ORD-90146,CUST-1023,PROD-5047,2026-04-20 21:20:42,1,1661.55,Delivered
ORD-90561,CUST-1171,PROD-5028,2026-04-21 05:09:08,1,185.0,Delivered
ORD-90236,CUST-1082,PROD-5017,2026-04-21 08:03:14,1,3999.0,Delivered
ORD-90259,CUST-1026,PROD-5060,2026-04-21 12:17:38,1,1799.0,Delivered
ORD-90681,CUST-1173,PROD-5004,2026-04-21 13:39:18,1,999.0,Delivered
ORD-90585,CUST-1148,PROD-5006,2026-04-22 20:25:37,2,18048.1,Delivered
ORD-90106,CUST-1051,PROD-5030,2026-04-23 03:04:07,1,420.75,Delivered
ORD-90316,CUST-1031,PROD-5019,2026-04-23 03:20:13,2,2848.1,Delivered
ORD-90632,CUST-1032,PROD-5006,2026-04-23 04:02:49,2,17098.2,Delivered
ORD-90173,CUST-1173,PROD-5047,2026-04-23 09:29:36,1,1661.55,Delivered
ORD-90006,CUST-1134,PROD-5029,2026-04-23 13:43:03,2,50.4,Delivered
ORD-90110,CUST-1062,PROD-5020,2026-04-23 17:01:17,1,3149.1,Delivered
ORD-90637,CUST-1161,PROD-5012,2026-04-23 19:50:28,3,10776.0,Delivered
ORD-90654,CUST-1050,PROD-5001,2026-04-23 22:53:06,1,1169.1,Delivered
ORD-90431,CUST-1184,PROD-5053,2026-04-23 23:27:31,2,741.0,Delivered
ORD-90536,CUST-1071,PROD-5038,2026-04-24 05:36:27,1,3299.0,In-Transit
ORD-90349,CUST-1051,PROD-5013,2026-04-24 10:42:58,4,5696.2,Delivered
ORD-90648,CUST-1121,PROD-5009,2026-04-24 16:40:10,2,73800.0,Delivered
ORD-90351,CUST-1173,PROD-5038,2026-04-24 22:14:34,2,6268.1,Delivered
ORD-90703,CUST-1131,PROD-5026,2026-04-25 18:27:09,3,14997.0,In-Transit
ORD-90291,CUST-1025,PROD-5031,2026-04-25 20:15:46,2,432.0,Delivered
ORD-90652,CUST-1160,PROD-5023,2026-04-26 04:30:25,1,2085.25,Cancelled
ORD-90582,CUST-1199,PROD-5045,2026-04-26 07:35:32,2,12348.1,Delivered
ORD-90219,CUST-1052,PROD-5052,2026-04-26 08:07:31,1,449.0,Cancelled
ORD-90189,CUST-1112,PROD-5043,2026-04-26 09:08:41,1,2199.0,Delivered
ORD-90440,CUST-1097,PROD-5025,2026-04-26 16:09:29,1,1599.0,Cancelled
ORD-90328,CUST-1043,PROD-5008,2026-04-26 17:32:55,2,3398.0,In-Transit
ORD-90357,CUST-1076,PROD-5029,2026-04-26 21:33:28,1,25.2,In-Transit
ORD-90512,CUST-1141,PROD-5029,2026-04-27 05:40:51,4,100.8,Delivered
ORD-90629,CUST-1179,PROD-5035,2026-04-27 06:34:29,1,435.0,Delivered
ORD-90167,CUST-1004,PROD-5046,2026-04-27 15:27:11,2,998.0,In-Transit
ORD-90710,CUST-1035,PROD-5006,2026-04-27 15:29:34,1,9024.05,Delivered
ORD-90111,CUST-1108,PROD-5039,2026-04-27 18:30:29,1,949.05,Delivered
ORD-90707,CUST-1045,PROD-5031,2026-04-28 00:06:28,1,228.0,In-Transit
ORD-90198,CUST-1027,PROD-5052,2026-04-28 03:28:58,1,449.0,Cancelled
ORD-90060,CUST-1054,PROD-5038,2026-04-28 23:58:52,2,5938.2,Delivered
ORD-90458,CUST-1024,PROD-5053,2026-04-29 05:16:46,1,351.0,Delivered
ORD-90129,CUST-1034,PROD-5016,2026-04-29 09:32:37,2,22098.3,Cancelled
ORD-90664,CUST-1091,PROD-5005,2026-04-29 23:48:40,1,16499.0,In-Transit
ORD-90635,CUST-1169,PROD-5056,2026-04-30 03:28:07,1,140.0,Cancelled
ORD-90526,CUST-1060,PROD-5006,2026-04-30 06:14:12,1,9499.0,Delivered
ORD-90001,CUST-1035,PROD-5031,2026-04-30 17:53:47,1,192.0,Delivered
ORD-90391,CUST-1192,PROD-5044,2026-04-30 20:32:53,1,719.1,Delivered
ORD-90376,CUST-1182,PROD-5060,2026-05-01 01:26:48,1,1439.2,Delivered
ORD-90570,CUST-1118,PROD-5023,2026-05-01 07:30:42,1,2085.25,Delivered
ORD-90398,CUST-1008,PROD-5031,2026-05-01 08:31:12,1,240.0,Delivered
ORD-90464,CUST-1168,PROD-5001,2026-05-01 13:44:44,1,1299.0,Delivered
ORD-90538,CUST-1023,PROD-5016,2026-05-01 14:55:41,1,11699.1,Delivered
ORD-90562,CUST-1087,PROD-5043,2026-05-01 17:09:20,1,2089.05,In-Transit
ORD-90268,CUST-1015,PROD-5033,2026-05-01 20:51:55,1,247.5,Delivered
ORD-90140,CUST-1167,PROD-5020,2026-05-01 20:53:19,3,8922.45,Delivered
ORD-90212,CUST-1150,PROD-5015,2026-05-01 23:54:19,1,1701.0,Delivered
ORD-90375,CUST-1068,PROD-5009,2026-05-02 05:58:58,1,36900.0,Delivered
ORD-90644,CUST-1107,PROD-5012,2026-05-02 07:52:35,2,8082.0,Delivered
ORD-90502,CUST-1019,PROD-5006,2026-05-02 10:58:20,1,9499.0,Delivered
ORD-90061,CUST-1020,PROD-5020,2026-05-02 13:04:22,1,3324.05,Cancelled
ORD-90420,CUST-1158,PROD-5044,2026-05-03 04:53:13,2,1598.0,Delivered
ORD-90665,CUST-1161,PROD-5035,2026-05-03 05:28:25,1,413.25,Delivered
ORD-90091,CUST-1171,PROD-5023,2026-05-03 07:11:36,1,2195.0,In-Transit
ORD-90116,CUST-1114,PROD-5032,2026-05-03 11:27:27,1,650.0,Cancelled
ORD-90731,CUST-1030,PROD-5004,2026-05-03 13:04:28,1,949.05,Delivered
ORD-90410,CUST-1081,PROD-5028,2026-05-03 17:55:01,1,185.0,Delivered
ORD-90290,CUST-1130,PROD-5020,2026-05-04 00:11:42,2,5948.3,Delivered
ORD-90510,CUST-1034,PROD-5034,2026-05-04 03:05:27,1,719.1,Cancelled
ORD-90689,CUST-1119,PROD-5055,2026-05-04 03:59:34,1,199.0,Delivered
ORD-90214,CUST-1100,PROD-5023,2026-05-04 17:33:24,1,2085.25,Cancelled
ORD-90668,CUST-1135,PROD-5020,2026-05-04 23:37:06,1,3149.1,Cancelled
ORD-90461,CUST-1199,PROD-5053,2026-05-05 00:49:21,1,370.5,Delivered
ORD-90659,CUST-1008,PROD-5054,2026-05-05 02:29:27,1,1253.75,In-Transit
ORD-90413,CUST-1142,PROD-5007,2026-05-05 03:08:53,1,19999.0,Delivered
ORD-90226,CUST-1076,PROD-5009,2026-05-05 12:10:50,2,59040.0,In-Transit
ORD-90392,CUST-1019,PROD-5004,2026-05-05 13:30:12,2,1898.1,Delivered
ORD-90653,CUST-1128,PROD-5032,2026-05-05 22:25:42,3,1950.0,Delivered
ORD-90727,CUST-1061,PROD-5032,2026-05-06 02:37:54,2,1105.0,Delivered
ORD-90477,CUST-1147,PROD-5018,2026-05-06 11:50:14,4,4316.4,In-Transit
ORD-90744,CUST-1145,PROD-5052,2026-05-06 21:05:02,3,1212.3,Delivered
ORD-90113,CUST-1074,PROD-5009,2026-05-07 07:56:33,1,35055.0,Delivered
ORD-90034,CUST-1004,PROD-5014,2026-05-07 21:34:28,4,9960.0,In-Transit
ORD-90031,CUST-1186,PROD-5054,2026-05-07 23:42:31,1,1401.25,Delivered
ORD-90676,CUST-1083,PROD-5013,2026-05-08 09:19:39,1,1424.05,Cancelled
ORD-90741,CUST-1073,PROD-5017,2026-05-08 11:48:57,1,3599.1,Delivered
ORD-90295,CUST-1019,PROD-5031,2026-05-08 18:38:23,1,204.0,Delivered
ORD-90199,CUST-1057,PROD-5009,2026-05-09 11:22:00,2,70110.0,Delivered
ORD-90478,CUST-1128,PROD-5048,2026-05-09 18:30:48,1,499.0,Delivered
ORD-90619,CUST-1052,PROD-5049,2026-05-10 17:19:42,1,279.2,In-Transit
ORD-90019,CUST-1005,PROD-5016,2026-05-11 00:24:35,1,12349.05,Delivered
ORD-90343,CUST-1131,PROD-5036,2026-05-11 03:59:48,2,319.2,Delivered
ORD-90591,CUST-1006,PROD-5022,2026-05-11 14:03:18,2,5798.0,Delivered
ORD-90231,CUST-1003,PROD-5017,2026-05-11 17:11:58,1,3999.0,Delivered
ORD-90402,CUST-1022,PROD-5020,2026-05-11 18:55:02,2,5948.3,Delivered
ORD-90506,CUST-1192,PROD-5006,2026-05-11 21:20:03,1,9499.0,Delivered
ORD-90275,CUST-1147,PROD-5050,2026-05-12 14:47:49,3,2025.0,Delivered
ORD-90204,CUST-1045,PROD-5023,2026-05-12 16:38:58,3,6585.0,Delivered
ORD-90742,CUST-1153,PROD-5043,2026-05-13 02:28:35,4,7916.4,Delivered
ORD-90150,CUST-1114,PROD-5056,2026-05-13 04:26:00,1,140.0,Cancelled
ORD-90359,CUST-1142,PROD-5041,2026-05-13 04:53:23,1,936.0,Delivered
ORD-90135,CUST-1137,PROD-5026,2026-05-13 07:09:39,4,16996.6,Delivered
ORD-90750,CUST-1197,PROD-5028,2026-05-13 09:45:17,1,185.0,Delivered
ORD-90381,CUST-1093,PROD-5019,2026-05-13 10:01:43,4,5396.4,Delivered
ORD-90422,CUST-1092,PROD-5003,2026-05-13 11:46:15,2,3598.0,Delivered
ORD-90015,CUST-1033,PROD-5047,2026-05-14 05:48:41,2,3148.2,In-Transit
ORD-90344,CUST-1014,PROD-5053,2026-05-14 06:52:25,2,780.0,Cancelled
ORD-90247,CUST-1120,PROD-5017,2026-05-14 22:21:55,2,7598.1,Delivered
ORD-90605,CUST-1161,PROD-5044,2026-05-15 03:53:28,1,759.05,Delivered
ORD-90249,CUST-1194,PROD-5038,2026-05-15 04:17:10,1,2804.15,Cancelled
ORD-90265,CUST-1176,PROD-5007,2026-05-15 06:21:30,1,15999.2,Delivered
ORD-90509,CUST-1100,PROD-5020,2026-05-15 12:52:34,1,3499.0,Delivered
ORD-90558,CUST-1026,PROD-5047,2026-05-15 20:37:18,1,1749.0,Delivered
ORD-90597,CUST-1167,PROD-5025,2026-05-15 21:19:25,5,7595.25,Delivered
ORD-90463,CUST-1133,PROD-5045,2026-05-15 23:39:53,1,5849.1,Delivered
ORD-90686,CUST-1120,PROD-5031,2026-05-15 23:46:23,4,960.0,In-Transit
ORD-90346,CUST-1195,PROD-5043,2026-05-16 01:24:59,1,2089.05,Delivered
ORD-90535,CUST-1056,PROD-5008,2026-05-16 19:40:49,1,1699.0,Delivered
ORD-90123,CUST-1031,PROD-5050,2026-05-17 00:14:55,1,675.0,Delivered
ORD-90667,CUST-1023,PROD-5032,2026-05-17 03:29:35,1,552.5,Delivered
ORD-90229,CUST-1191,PROD-5005,2026-05-17 05:08:29,1,16499.0,Delivered
ORD-90285,CUST-1133,PROD-5049,2026-05-17 15:53:19,3,889.95,Cancelled
ORD-90338,CUST-1126,PROD-5021,2026-05-17 18:38:14,1,1299.0,Delivered
ORD-90082,CUST-1148,PROD-5051,2026-05-18 01:46:44,1,375.0,Cancelled
ORD-90035,CUST-1123,PROD-5059,2026-05-18 02:33:58,2,3598.2,Delivered
ORD-90433,CUST-1106,PROD-5002,2026-05-18 07:35:09,1,1899.05,Delivered
ORD-90165,CUST-1062,PROD-5004,2026-05-18 11:21:29,1,949.05,Delivered
ORD-90717,CUST-1157,PROD-5006,2026-05-18 14:51:38,1,8549.1,In-Transit
ORD-90624,CUST-1011,PROD-5057,2026-05-18 17:08:45,1,213.75,Cancelled
ORD-90530,CUST-1197,PROD-5046,2026-05-19 08:14:55,1,399.2,Delivered
ORD-90479,CUST-1059,PROD-5013,2026-05-19 11:39:54,2,2848.1,Cancelled
ORD-90529,CUST-1047,PROD-5013,2026-05-19 13:27:17,2,2548.3,Delivered
ORD-90542,CUST-1186,PROD-5009,2026-05-19 16:19:44,3,105165.0,Delivered
ORD-90278,CUST-1003,PROD-5015,2026-05-20 00:13:28,1,1512.0,Delivered
ORD-90404,CUST-1158,PROD-5054,2026-05-20 01:51:43,1,1475.0,Cancelled
ORD-90495,CUST-1056,PROD-5053,2026-05-20 09:04:32,1,351.0,Delivered
ORD-90663,CUST-1138,PROD-5002,2026-05-20 10:34:24,1,1999.0,In-Transit
ORD-90042,CUST-1176,PROD-5022,2026-05-20 23:13:46,2,5508.1,Cancelled
ORD-90602,CUST-1016,PROD-5041,2026-05-21 00:52:22,3,2652.0,Cancelled
ORD-90393,CUST-1059,PROD-5059,2026-05-21 05:23:12,1,1899.05,Delivered
ORD-90287,CUST-1128,PROD-5019,2026-05-21 09:00:50,3,4272.15,Cancelled
ORD-90487,CUST-1093,PROD-5040,2026-05-21 10:17:35,1,1975.0,Delivered
ORD-90037,CUST-1092,PROD-5020,2026-05-21 18:57:55,1,2974.15,Delivered
ORD-90508,CUST-1022,PROD-5007,2026-05-21 23:06:58,1,19999.0,In-Transit
ORD-90475,CUST-1180,PROD-5054,2026-05-22 03:17:54,1,1475.0,Delivered
ORD-90748,CUST-1067,PROD-5053,2026-05-22 09:25:39,1,390.0,In-Transit
ORD-90614,CUST-1157,PROD-5040,2026-05-22 19:40:11,1,1777.5,Delivered
ORD-90169,CUST-1192,PROD-5050,2026-05-23 04:31:59,2,1500.0,In-Transit
ORD-90522,CUST-1191,PROD-5035,2026-05-23 04:48:05,1,369.75,Delivered
ORD-90618,CUST-1196,PROD-5001,2026-05-23 09:37:57,4,5196.0,Delivered
ORD-90058,CUST-1146,PROD-5031,2026-05-23 15:23:40,1,240.0,In-Transit
ORD-90736,CUST-1167,PROD-5055,2026-05-23 22:21:51,1,199.0,Delivered
ORD-90677,CUST-1172,PROD-5008,2026-05-23 22:39:38,1,1699.0,Delivered
ORD-90271,CUST-1181,PROD-5013,2026-05-24 04:49:39,1,1424.05,Delivered
ORD-90117,CUST-1075,PROD-5003,2026-05-24 08:54:26,1,1799.0,Cancelled
ORD-90024,CUST-1106,PROD-5020,2026-05-24 10:18:36,1,2799.2,Cancelled
ORD-90279,CUST-1182,PROD-5042,2026-05-24 11:21:25,1,807.5,Delivered
ORD-90452,CUST-1094,PROD-5040,2026-05-24 12:12:18,5,9381.25,Delivered
ORD-90132,CUST-1132,PROD-5048,2026-05-25 00:37:32,2,848.3,Delivered
ORD-90603,CUST-1008,PROD-5036,2026-05-25 09:47:52,1,168.0,Delivered
ORD-90430,CUST-1132,PROD-5042,2026-05-25 12:40:01,1,850.0,Delivered
ORD-90525,CUST-1048,PROD-5007,2026-05-25 18:44:56,1,17999.1,Cancelled
ORD-90136,CUST-1083,PROD-5054,2026-05-26 01:38:22,1,1401.25,Delivered
ORD-90011,CUST-1121,PROD-5003,2026-05-26 17:56:22,1,1619.1,Cancelled
ORD-90708,CUST-1107,PROD-5010,2026-05-27 00:22:18,5,8550.0,Delivered
ORD-90406,CUST-1141,PROD-5005,2026-05-27 10:32:22,2,32998.0,Delivered
ORD-90085,CUST-1113,PROD-5052,2026-05-27 13:42:06,2,898.0,Cancelled
ORD-90518,CUST-1111,PROD-5052,2026-05-27 21:07:05,1,404.1,Delivered
ORD-90373,CUST-1186,PROD-5013,2026-05-28 02:58:03,1,1199.2,Delivered
ORD-90241,CUST-1170,PROD-5019,2026-05-28 17:59:14,1,1499.0,Delivered
ORD-90534,CUST-1124,PROD-5041,2026-05-29 00:34:11,1,884.0,Cancelled
ORD-90196,CUST-1013,PROD-5044,2026-05-29 00:41:55,1,639.2,Delivered
ORD-90571,CUST-1060,PROD-5017,2026-05-29 07:30:38,1,3799.05,In-Transit
ORD-90023,CUST-1083,PROD-5016,2026-05-29 14:19:27,3,31197.6,Delivered
ORD-90567,CUST-1035,PROD-5057,2026-05-29 14:41:02,1,180.0,Delivered
ORD-90691,CUST-1167,PROD-5005,2026-05-29 15:58:21,1,15674.05,Delivered
ORD-90601,CUST-1091,PROD-5041,2026-05-29 16:56:32,1,832.0,Delivered
ORD-90264,CUST-1006,PROD-5022,2026-05-29 20:20:18,1,2464.15,Cancelled
ORD-90557,CUST-1188,PROD-5005,2026-05-30 00:17:52,1,16499.0,Delivered
ORD-90180,CUST-1145,PROD-5051,2026-05-30 00:19:12,2,750.0,Delivered
ORD-90626,CUST-1113,PROD-5026,2026-05-30 03:19:30,2,9998.0,Delivered
ORD-90142,CUST-1102,PROD-5041,2026-05-30 07:46:34,2,1872.0,Delivered
ORD-90409,CUST-1158,PROD-5043,2026-05-30 08:33:03,2,4398.0,Delivered
ORD-90305,CUST-1129,PROD-5038,2026-05-30 10:35:59,1,2804.15,Delivered
ORD-90515,CUST-1023,PROD-5029,2026-05-30 18:46:11,1,28.0,Delivered
ORD-90636,CUST-1014,PROD-5027,2026-05-30 19:40:26,1,486.0,Delivered
ORD-90193,CUST-1054,PROD-5029,2026-05-30 20:49:05,1,23.8,Delivered
ORD-90217,CUST-1127,PROD-5035,2026-05-31 00:17:30,1,435.0,Delivered
ORD-90166,CUST-1156,PROD-5004,2026-05-31 01:23:46,2,1798.2,Delivered
ORD-90673,CUST-1030,PROD-5001,2026-05-31 09:16:40,4,4676.4,Delivered
ORD-90192,CUST-1116,PROD-5030,2026-05-31 23:30:04,1,470.25,In-Transit
ORD-90474,CUST-1059,PROD-5052,2026-06-01 07:24:42,1,426.55,Delivered
ORD-90157,CUST-1004,PROD-5024,2026-06-01 10:52:10,1,1147.5,Delivered
ORD-90081,CUST-1046,PROD-5026,2026-06-01 23:17:21,1,4499.1,Delivered
ORD-90524,CUST-1126,PROD-5013,2026-06-02 06:18:29,1,1499.0,Delivered
