payment_id,order_id,payment_method,gateway_name,payment_status,pg_metadata
PAY-4029,ORD-90018,Credit Card,BillDesk,Pending,"{""bank_reference_no"": ""PEND9967982724"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": null, ""ip_address"": ""148.78.156.20""}"
PAY-4030,ORD-90045,Net Banking,PhonePe,Failed,"{""bank_reference_no"": ""FAIL9609562782"", ""error_code"": ""ERR_TRANSACTION_TIMEOUT"", ""processing_fee_inr"": 0.0, ""merchant_vpa"": null, ""ip_address"": ""201.197.49.247""}"
PAY-4031,ORD-90721,UPI,Razorpay,Success,"{""bank_reference_no"": ""YESB6236751117"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""155.79.184.119""}"
PAY-4032,ORD-90646,Debit Card,PayU,Success,"{""bank_reference_no"": ""SBIN1227929714"", ""error_code"": null, ""processing_fee_inr"": 23.01, ""merchant_vpa"": null, ""ip_address"": ""175.145.59.39""}"
PAY-4033,ORD-90089,UPI,BillDesk,Success,"{""bank_reference_no"": ""AXIS1757305041"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""223.48.136.113""}"
PAY-4034,ORD-90310,Credit Card,Razorpay,Failed,"{""bank_reference_no"": ""FAIL6859164627"", ""error_code"": ""ERR_TRANSACTION_TIMEOUT"", ""processing_fee_inr"": 0.0, ""merchant_vpa"": null, ""ip_address"": ""23.233.99.78""}"
PAY-4035,ORD-90302,UPI,PhonePe,Success,"{""bank_reference_no"": ""YESB8552304952"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""171.27.247.129""}"
PAY-4036,ORD-90623,UPI,Razorpay,Success,"{""bank_reference_no"": ""ICIC5419801487"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""191.129.209.155""}"
PAY-4037,ORD-90442,Credit Card,Razorpay,Success,"{""bank_reference_no"": ""AXIS6695007725"", ""error_code"": null, ""processing_fee_inr"": 38.13, ""merchant_vpa"": null, ""ip_address"": ""145.147.1.43""}"
PAY-4038,ORD-90434,Credit Card,PhonePe,Success,"{""bank_reference_no"": ""ICIC4345673352"", ""error_code"": null, ""processing_fee_inr"": 11.78, ""merchant_vpa"": null, ""ip_address"": ""25.36.175.94""}"
PAY-4039,ORD-90401,UPI,BillDesk,Success,"{""bank_reference_no"": ""ICIC1947739357"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""117.95.161.171""}"
PAY-4040,ORD-90621,UPI,BillDesk,Failed,"{""bank_reference_no"": ""FAIL2872026192"", ""error_code"": ""ERR_TRANSACTION_TIMEOUT"", ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""37.40.47.50""}"
PAY-4041,ORD-90533,COD,BillDesk,Success,"{""bank_reference_no"": ""ICIC6958538302"", ""error_code"": null, ""processing_fee_inr"": 25.0, ""merchant_vpa"": null, ""ip_address"": ""78.204.252.246""}"
PAY-4042,ORD-90057,UPI,PayU,Success,"{""bank_reference_no"": ""SBIN9484947955"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""41.199.143.184""}"
PAY-4043,ORD-90254,UPI,PayU,Success,"{""bank_reference_no"": ""HDFC5551169498"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""132.28.83.84""}"
PAY-4044,ORD-90202,UPI,BillDesk,Success,"{""bank_reference_no"": ""AXIS2796257670"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""53.45.41.32""}"
PAY-4045,ORD-90186,Debit Card,PayU,Success,"{""bank_reference_no"": ""SBIN3592596823"", ""error_code"": null, ""processing_fee_inr"": 424.54, ""merchant_vpa"": null, ""ip_address"": ""7.83.129.113""}"
PAY-4046,ORD-90099,Credit Card,PayU,Failed,"{""bank_reference_no"": ""FAIL1986563860"", ""error_code"": ""ERR_BANK_DECLINED"", ""processing_fee_inr"": 0.0, ""merchant_vpa"": null, ""ip_address"": ""90.227.161.167""}"
PAY-4047,ORD-90174,Net Banking,BillDesk,Success,"{""bank_reference_no"": ""ICIC7835787787"", ""error_code"": null, ""processing_fee_inr"": 220.54, ""merchant_vpa"": null, ""ip_address"": ""33.64.2.241""}"
PAY-4048,ORD-90020,UPI,BillDesk,Success,"{""bank_reference_no"": ""ICIC6359395246"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""220.44.20.214""}"
PAY-4049,ORD-90294,UPI,PayU,Success,"{""bank_reference_no"": ""YESB5064122912"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""27.65.155.175""}"
PAY-4050,ORD-90507,COD,Razorpay,Failed,"{""bank_reference_no"": ""FAIL1189941491"", ""error_code"": ""ERR_BANK_DECLINED"", ""processing_fee_inr"": 0.0, ""merchant_vpa"": null, ""ip_address"": ""56.245.138.142""}"
PAY-4051,ORD-90296,Debit Card,Razorpay,Success,"{""bank_reference_no"": ""AXIS7576117754"", ""error_code"": null, ""processing_fee_inr"": 24.87, ""merchant_vpa"": null, ""ip_address"": ""169.107.68.250""}"
PAY-4052,ORD-90577,Debit Card,Razorpay,Success,"{""bank_reference_no"": ""AXIS3127233070"", ""error_code"": null, ""processing_fee_inr"": 20.12, ""merchant_vpa"": null, ""ip_address"": ""5.195.169.202""}"
PAY-4053,ORD-90242,Debit Card,BillDesk,Success,"{""bank_reference_no"": ""ICIC5864961001"", ""error_code"": null, ""processing_fee_inr"": 25.4, ""merchant_vpa"": null, ""ip_address"": ""24.187.226.214""}"
PAY-4054,ORD-90589,Credit Card,Razorpay,Success,"{""bank_reference_no"": ""HDFC2309263254"", ""error_code"": null, ""processing_fee_inr"": 7.6, ""merchant_vpa"": null, ""ip_address"": ""16.237.197.119""}"
PAY-4055,ORD-90627,Net Banking,Razorpay,Success,"{""bank_reference_no"": ""AXIS8314908641"", ""error_code"": null, ""processing_fee_inr"": 44.64, ""merchant_vpa"": null, ""ip_address"": ""57.224.83.7""}"
PAY-4056,ORD-90007,Net Banking,BillDesk,Success,"{""bank_reference_no"": ""HDFC5598615444"", ""error_code"": null, ""processing_fee_inr"": 0.49, ""merchant_vpa"": null, ""ip_address"": ""190.244.220.47""}"
PAY-4057,ORD-90528,UPI,Razorpay,Success,"{""bank_reference_no"": ""SBIN4412260278"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""208.220.232.191""}"
PAY-4058,ORD-90055,Debit Card,Razorpay,Success,"{""bank_reference_no"": ""YESB9078177421"", ""error_code"": null, ""processing_fee_inr"": 3.7, ""merchant_vpa"": null, ""ip_address"": ""208.222.5.31""}"
PAY-4059,ORD-90324,UPI,PhonePe,Success,"{""bank_reference_no"": ""HDFC5771564976"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""91.110.100.64""}"
PAY-4060,ORD-90270,UPI,Razorpay,Success,"{""bank_reference_no"": ""SBIN2573817755"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""93.140.119.167""}"
PAY-4061,ORD-90299,Credit Card,Razorpay,Failed,"{""bank_reference_no"": ""FAIL4322481528"", ""error_code"": ""ERR_TRANSACTION_TIMEOUT"", ""processing_fee_inr"": 0.0, ""merchant_vpa"": null, ""ip_address"": ""98.20.204.213""}"
PAY-4062,ORD-90211,COD,PayU,Success,"{""bank_reference_no"": ""YESB6263212814"", ""error_code"": null, ""processing_fee_inr"": 25.0, ""merchant_vpa"": null, ""ip_address"": ""45.139.215.151""}"
PAY-4063,ORD-90128,UPI,PhonePe,Success,"{""bank_reference_no"": ""YESB8216518899"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""26.204.205.243""}"
PAY-4064,ORD-90125,UPI,Razorpay,Success,"{""bank_reference_no"": ""SBIN6777704180"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""188.33.205.76""}"
PAY-4065,ORD-90594,Credit Card,Razorpay,Success,"{""bank_reference_no"": ""AXIS6550233140"", ""error_code"": null, ""processing_fee_inr"": 29.41, ""merchant_vpa"": null, ""ip_address"": ""125.175.174.176""}"
PAY-4066,ORD-90722,Debit Card,Razorpay,Success,"{""bank_reference_no"": ""ICIC2966554388"", ""error_code"": null, ""processing_fee_inr"": 47.72, ""merchant_vpa"": null, ""ip_address"": ""120.167.190.116""}"
PAY-4067,ORD-90548,Net Banking,PhonePe,Success,"{""bank_reference_no"": ""HDFC1469718772"", ""error_code"": null, ""processing_fee_inr"": 46.3, ""merchant_vpa"": null, ""ip_address"": ""17.170.175.108""}"
PAY-4068,ORD-90010,Credit Card,BillDesk,Success,"{""bank_reference_no"": ""ICIC4758066922"", ""error_code"": null, ""processing_fee_inr"": 101.68, ""merchant_vpa"": null, ""ip_address"": ""198.22.204.184""}"
PAY-4069,ORD-90263,Credit Card,PhonePe,Success,"{""bank_reference_no"": ""AXIS5862020519"", ""error_code"": null, ""processing_fee_inr"": 300.06, ""merchant_vpa"": null, ""ip_address"": ""113.25.15.147""}"
PAY-4070,ORD-90164,UPI,Razorpay,Success,"{""bank_reference_no"": ""SBIN1812009356"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""177.73.203.110""}"
PAY-4071,ORD-90647,UPI,PayU,Success,"{""bank_reference_no"": ""YESB8063812593"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""183.233.190.172""}"
PAY-4072,ORD-90657,UPI,PhonePe,Success,"{""bank_reference_no"": ""SBIN7650622478"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""102.20.222.127""}"
PAY-4073,ORD-90379,UPI,PayU,Success,"{""bank_reference_no"": ""SBIN2116723521"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""143.68.82.0""}"
PAY-4074,ORD-90545,Credit Card,PhonePe,Pending,"{""bank_reference_no"": ""PEND1203233294"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": null, ""ip_address"": ""71.82.40.28""}"
PAY-4075,ORD-90178,UPI,BillDesk,Success,"{""bank_reference_no"": ""YESB4969115197"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""1.111.153.12""}"
PAY-4076,ORD-90408,Debit Card,PhonePe,Success,"{""bank_reference_no"": ""ICIC5179888323"", ""error_code"": null, ""processing_fee_inr"": 105.91, ""merchant_vpa"": null, ""ip_address"": ""24.51.37.251""}"
PAY-4077,ORD-90539,Credit Card,PayU,Success,"{""bank_reference_no"": ""ICIC2021795614"", ""error_code"": null, ""processing_fee_inr"": 11.5, ""merchant_vpa"": null, ""ip_address"": ""181.94.135.86""}"
PAY-4078,ORD-90584,UPI,PayU,Success,"{""bank_reference_no"": ""AXIS6413407687"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""135.84.129.170""}"
PAY-4079,ORD-90469,UPI,Razorpay,Success,"{""bank_reference_no"": ""SBIN9495542235"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""181.61.145.201""}"
PAY-4080,ORD-90032,UPI,BillDesk,Failed,"{""bank_reference_no"": ""FAIL2295189353"", ""error_code"": ""ERR_INSUFFICIENT_FUNDS"", ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""194.110.177.112""}"
PAY-4081,ORD-90131,UPI,BillDesk,Success,"{""bank_reference_no"": ""ICIC9365690276"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""147.247.27.134""}"
PAY-4082,ORD-90745,COD,PayU,Success,"{""bank_reference_no"": ""HDFC7474272494"", ""error_code"": null, ""processing_fee_inr"": 25.0, ""merchant_vpa"": null, ""ip_address"": ""152.5.7.122""}"
PAY-4083,ORD-90064,Credit Card,PhonePe,Success,"{""bank_reference_no"": ""AXIS9143161161"", ""error_code"": null, ""processing_fee_inr"": 31.96, ""merchant_vpa"": null, ""ip_address"": ""44.177.111.98""}"
PAY-4084,ORD-90171,Debit Card,PayU,Success,"{""bank_reference_no"": ""YESB9256181725"", ""error_code"": null, ""processing_fee_inr"": 14.2, ""merchant_vpa"": null, ""ip_address"": ""79.138.216.36""}"
PAY-4085,ORD-90427,UPI,BillDesk,Success,"{""bank_reference_no"": ""HDFC3366355159"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""83.77.33.113""}"
PAY-4086,ORD-90480,UPI,BillDesk,Success,"{""bank_reference_no"": ""YESB4611538856"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""168.61.250.237""}"
PAY-4087,ORD-90251,UPI,Razorpay,Success,"{""bank_reference_no"": ""SBIN9826302271"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""160.168.56.27""}"
PAY-4088,ORD-90030,Credit Card,PayU,Success,"{""bank_reference_no"": ""SBIN1840592447"", ""error_code"": null, ""processing_fee_inr"": 27.28, ""merchant_vpa"": null, ""ip_address"": ""59.106.139.154""}"
PAY-4089,ORD-90640,Net Banking,Razorpay,Success,"{""bank_reference_no"": ""YESB2694036518"", ""error_code"": null, ""processing_fee_inr"": 0.43, ""merchant_vpa"": null, ""ip_address"": ""132.105.201.130""}"
PAY-4090,ORD-90013,Credit Card,Razorpay,Success,"{""bank_reference_no"": ""SBIN2707498619"", ""error_code"": null, ""processing_fee_inr"": 48.96, ""merchant_vpa"": null, ""ip_address"": ""13.117.174.210""}"
PAY-4091,ORD-90244,UPI,BillDesk,Failed,"{""bank_reference_no"": ""FAIL6517531326"", ""error_code"": ""ERR_INCORRECT_OTP"", ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""90.226.62.15""}"
PAY-4092,ORD-90068,UPI,BillDesk,Success,"{""bank_reference_no"": ""HDFC9108060197"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""172.216.36.195""}"
PAY-4093,ORD-90141,Debit Card,BillDesk,Success,"{""bank_reference_no"": ""AXIS2239673672"", ""error_code"": null, ""processing_fee_inr"": 59.96, ""merchant_vpa"": null, ""ip_address"": ""27.151.11.93""}"
PAY-4094,ORD-90162,COD,BillDesk,Success,"{""bank_reference_no"": ""AXIS1369702097"", ""error_code"": null, ""processing_fee_inr"": 25.0, ""merchant_vpa"": null, ""ip_address"": ""157.108.94.149""}"
PAY-4095,ORD-90179,UPI,BillDesk,Success,"{""bank_reference_no"": ""YESB9532546734"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""155.223.5.122""}"
PAY-4096,ORD-90650,UPI,BillDesk,Success,"{""bank_reference_no"": ""HDFC5323395110"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""108.82.65.234""}"
PAY-4097,ORD-90340,Credit Card,PhonePe,Success,"{""bank_reference_no"": ""AXIS4929345815"", ""error_code"": null, ""processing_fee_inr"": 1.07, ""merchant_vpa"": null, ""ip_address"": ""158.241.159.135""}"
PAY-4098,ORD-90466,Net Banking,PhonePe,Success,"{""bank_reference_no"": ""YESB3107049214"", ""error_code"": null, ""processing_fee_inr"": 31.95, ""merchant_vpa"": null, ""ip_address"": ""24.150.178.62""}"
PAY-4099,ORD-90628,UPI,PhonePe,Failed,"{""bank_reference_no"": ""FAIL8472624728"", ""error_code"": ""ERR_TRANSACTION_TIMEOUT"", ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""47.182.49.91""}"
PAY-4100,ORD-90698,UPI,Razorpay,Success,"{""bank_reference_no"": ""ICIC6423156524"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""172.177.124.81""}"
PAY-4101,ORD-90419,COD,BillDesk,Success,"{""bank_reference_no"": ""HDFC9129026739"", ""error_code"": null, ""processing_fee_inr"": 25.0, ""merchant_vpa"": null, ""ip_address"": ""126.230.207.133""}"
PAY-4102,ORD-90342,UPI,BillDesk,Success,"{""bank_reference_no"": ""ICIC1122159993"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""119.111.114.37""}"
PAY-4103,ORD-90195,Debit Card,BillDesk,Success,"{""bank_reference_no"": ""HDFC8240940498"", ""error_code"": null, ""processing_fee_inr"": 57.21, ""merchant_vpa"": null, ""ip_address"": ""152.65.92.90""}"
PAY-4104,ORD-90072,Debit Card,PhonePe,Failed,"{""bank_reference_no"": ""FAIL3470738735"", ""error_code"": ""ERR_INCORRECT_OTP"", ""processing_fee_inr"": 0.0, ""merchant_vpa"": null, ""ip_address"": ""63.162.183.185""}"
PAY-4105,ORD-90063,UPI,Razorpay,Success,"{""bank_reference_no"": ""ICIC6667987217"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""168.93.26.29""}"
PAY-4106,ORD-90143,Net Banking,PayU,Success,"{""bank_reference_no"": ""SBIN1701406202"", ""error_code"": null, ""processing_fee_inr"": 6.59, ""merchant_vpa"": null, ""ip_address"": ""27.90.185.224""}"
PAY-4107,ORD-90051,UPI,PhonePe,Success,"{""bank_reference_no"": ""HDFC6539890206"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""165.114.7.36""}"
PAY-4108,ORD-90248,Credit Card,Razorpay,Success,"{""bank_reference_no"": ""YESB3697368099"", ""error_code"": null, ""processing_fee_inr"": 38.16, ""merchant_vpa"": null, ""ip_address"": ""126.141.115.19""}"
PAY-4109,ORD-90685,Credit Card,PayU,Success,"{""bank_reference_no"": ""YESB8730413737"", ""error_code"": null, ""processing_fee_inr"": 6.19, ""merchant_vpa"": null, ""ip_address"": ""2.195.164.75""}"
PAY-4110,ORD-90671,Credit Card,PhonePe,Success,"{""bank_reference_no"": ""HDFC1617262027"", ""error_code"": null, ""processing_fee_inr"": 15.55, ""merchant_vpa"": null, ""ip_address"": ""90.2.235.24""}"
PAY-4111,ORD-90093,UPI,BillDesk,Success,"{""bank_reference_no"": ""AXIS4911804606"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""23.176.187.209""}"
PAY-4112,ORD-90321,UPI,PayU,Success,"{""bank_reference_no"": ""YESB5784450697"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""159.105.157.225""}"
PAY-4113,ORD-90105,UPI,Razorpay,Success,"{""bank_reference_no"": ""HDFC4516911409"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""16.141.65.190""}"
PAY-4114,ORD-90146,COD,BillDesk,Success,"{""bank_reference_no"": ""SBIN2557220130"", ""error_code"": null, ""processing_fee_inr"": 25.0, ""merchant_vpa"": null, ""ip_address"": ""78.46.162.175""}"
PAY-4115,ORD-90561,Debit Card,PhonePe,Success,"{""bank_reference_no"": ""ICIC8343942606"", ""error_code"": null, ""processing_fee_inr"": 2.26, ""merchant_vpa"": null, ""ip_address"": ""47.146.79.208""}"
PAY-4116,ORD-90236,Debit Card,PayU,Success,"{""bank_reference_no"": ""ICIC6268097086"", ""error_code"": null, ""processing_fee_inr"": 51.5, ""merchant_vpa"": null, ""ip_address"": ""55.158.7.245""}"
PAY-4117,ORD-90259,UPI,Razorpay,Success,"{""bank_reference_no"": ""AXIS4367382040"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""27.0.15.128""}"
PAY-4118,ORD-90681,UPI,BillDesk,Success,"{""bank_reference_no"": ""AXIS1182608864"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""53.43.175.70""}"
